"SAMPLEID","BFI","LAT","LONG","STATIONID","COLLDATE","INDEX_REGION_LONG","INDEX_REGION","INDEX_NAME","ni_total","nt_LOW_N","nt_LOW_P","pi_Tol_13","pt_Achnan_Navic","pt_BC_12","pt_O_345","pt_PT_12","pt_SALINITY_34","pt_Sens_810"
"AB01176",46.28192415,41.38456221,-85.3370748,"LMJ180-0052","9/13/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,4,1,7.67946577629382,24.0740740740741,18.5185185185185,46.2962962962963,20.3703703703704,20.3703703703704,22.2222222222222
"AB01177",40.48946639,41.40312812,-84.98894169,"LEJ080-0017","9/13/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,4,3,52.8619528619529,20,8,54,16,20,24
"AB01178",39.93307258,41.42989047,-84.84616096,"LEJ060-0015","9/7/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,2,1,33.446519524618,21.3114754098361,11.4754098360656,37.7049180327869,13.1147540983607,16.3934426229508,14.7540983606557
"AB01178(B)",39.93307258,41.42989047,-84.84616096,"LEJ060-0015","9/7/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,1,1,53.3557046979866,19.6078431372549,3.92156862745098,35.2941176470588,9.80392156862745,25.4901960784314,11.7647058823529
"AB01182",27.80106762,41.07619734,-85.08176649,"LEM010-0052","9/14/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",596,4,4,46.7486818980668,14.8148148148148,14.8148148148148,48.1481481481481,18.5185185185185,18.5185185185185,11.1111111111111
"AB01183",29.98712446,41.14610054,-85.10031941,"LEJ100-0026","9/14/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,1,1,47.2789115646259,14.8148148148148,5.55555555555556,38.8888888888889,14.8148148148148,22.2222222222222,11.1111111111111
"AB01184",29.01713586,41.1010727,-84.98127925,"LEM010-0051","9/14/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,1,1,31.2080536912752,26,6,40,12,26,8
"AB01185",30.69149472,41.13298835,-84.92092362,"LEM010-0046","9/14/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,2,2,39.424703891709,25,6.66666666666667,45,13.3333333333333,26.6666666666667,16.6666666666667
"AB01186",27,41.01201432,-84.85097841,"LEA120-0009","9/21/2010","Low_Lithologic_Nitrogen","LON","IDEM_2021_Diatoms",600,0,0,21.1796246648794,23.6842105263158,5.26315789473684,39.4736842105263,13.1578947368421,31.5789473684211,15.7894736842105
"AB01187",33.91573995,41.19518984,-85.03013415,"LEJ070-0028","9/14/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,0,0,78.4873949579832,13.8888888888889,5.55555555555556,36.1111111111111,8.33333333333333,25,2.77777777777778
"AB01190",24,40.83582696,-84.91658086,"LES040-0104","9/20/2010","Low_Lithologic_Nitrogen","LON","IDEM_2021_Diatoms",600,2,2,45.7286432160804,25,8.33333333333333,38.8888888888889,13.8888888888889,16.6666666666667,13.8888888888889
"AB01193",24,40.76413783,-84.80974201,"LES030-0002","9/20/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,2,1,31.7567567567568,15.7894736842105,8.7719298245614,33.3333333333333,10.5263157894737,21.0526315789474,8.7719298245614
"AB01193(B)",24,40.76413783,-84.80974201,"LES030-0002","9/20/2016","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,4,3,32.312925170068,19.2307692307692,9.61538461538461,42.3076923076923,15.3846153846154,21.1538461538462,11.5384615384615
"AB01222",25.88625824,39.2725793,-85.30048398,"OML060-0017","8/23/2010","Low_Lithologic_Nitrogen","LON","IDEM_2021_Diatoms",600,2,1,3.15789473684211,30.3030303030303,15.1515151515152,42.4242424242424,12.1212121212121,12.1212121212121,33.3333333333333
"AB01222(B)",25.88625824,39.2725793,-85.30048398,"OML060-0017","8/23/2010","Low_Lithologic_Nitrogen","LON","IDEM_2021_Diatoms",600,4,3,2.88624787775891,27.7777777777778,13.8888888888889,36.1111111111111,8.33333333333333,8.33333333333333,33.3333333333333
"AB01223",21.73090555,39.16031178,-85.25240931,"OML060-0019","8/23/2010","Low_Lithologic_Nitrogen","LON","IDEM_2021_Diatoms",600,2,1,22.2003929273084,22.9166666666667,10.4166666666667,37.5,12.5,16.6666666666667,29.1666666666667
"AB01224",17.41192613,39.02698341,-85.22199417,"OML070-0021","8/25/2010","Low_Lithologic_Nitrogen","LON","IDEM_2021_Diatoms",600,3,2,2.01342281879195,19.5121951219512,14.6341463414634,34.1463414634146,12.1951219512195,14.6341463414634,41.4634146341463
"AB01225",21.57212268,39.17397425,-84.93951894,"OML030-0015","8/24/2010","Low_Lithologic_Nitrogen","LON","IDEM_2021_Diatoms",600,8,5,0.511945392491468,25.8064516129032,19.3548387096774,29.0322580645161,6.45161290322581,9.67741935483871,35.4838709677419
"AB01226",17.36626506,39.11136878,-84.99038818,"OML040-0012","8/24/2010","Low_Lithologic_Nitrogen","LON","IDEM_2021_Diatoms",598,5,3,1.02389078498294,12,8,32,8,12,40
"AB01227",16,39.05184113,-84.9945439,"OML040-0014","8/24/2010","Low_Lithologic_Nitrogen","LON","IDEM_2021_Diatoms",600,5,3,0.416666666666667,5,15,30,10,10,35
"AB01229",14.950143,38.77960127,-85.07996286,"OML200-0018","8/25/2010","Low_Lithologic_Nitrogen","LON","IDEM_2021_Diatoms",600,4,3,1.00671140939597,16.6666666666667,3.33333333333333,26.6666666666667,10,6.66666666666667,46.6666666666667
"AB01230",15,38.84407664,-85.25926279,"OSK030-0017","8/30/2010","Low_Lithologic_Nitrogen","LON","IDEM_2021_Diatoms",600,4,4,0,18.1818181818182,22.7272727272727,27.2727272727273,13.6363636363636,4.54545454545455,40.9090909090909
"AB01231",15,38.80943589,-85.31640925,"OSK030-0019","8/30/2010","Low_Lithologic_Nitrogen","LON","IDEM_2021_Diatoms",600,5,6,0.666666666666667,19.047619047619,19.047619047619,38.0952380952381,19.047619047619,9.52380952380952,42.8571428571429
"AB01231(B)",15,38.80943589,-85.31640925,"OSK030-0019","8/30/2010","Low_Lithologic_Nitrogen","LON","IDEM_2021_Diatoms",600,5,5,1.1686143572621,20,12,40,16,8,36
"AB01234",19.01576235,38.48108557,-85.51360058,"OSK060-0001","8/31/2010","Low_Lithologic_Nitrogen","LON","IDEM_2021_Diatoms",600,8,7,1.39130434782609,18.1818181818182,21.2121212121212,27.2727272727273,15.1515151515152,9.09090909090909,39.3939393939394
"AB01235",19.14809558,38.52637969,-85.61698428,"OSK070-0018","8/31/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,5,5,1.7921146953405,26.4705882352941,14.7058823529412,32.3529411764706,11.7647058823529,11.7647058823529,47.0588235294118
"AB01236",21.02273934,38.49437349,-85.72857577,"OSK140-0043","9/1/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,8,7,1.57618213660245,20.9302325581395,16.2790697674419,20.9302325581395,6.97674418604651,2.32558139534884,44.1860465116279
"AB01237",22,38.50276107,-85.77846685,"OSK140-0040","9/1/2010","Low_Lithologic_Nitrogen","LON","IDEM_2021_Diatoms",600,5,5,13.9047619047619,25.4545454545455,18.1818181818182,27.2727272727273,10.9090909090909,10.9090909090909,40
"AB01238",22.74510345,38.31230851,-85.68758246,"OSK100-0001","9/8/2010","Low_Lithologic_Nitrogen","LON","IDEM_2021_Diatoms",600,3,2,3.37837837837838,13.6363636363636,6.81818181818182,34.0909090909091,6.81818181818182,13.6363636363636,36.3636363636364
